Program,ChapterCity,ChapterTitle,ChapterUrl
GDG,Bangalore,GDG Bangalore,https://gdg.community.dev/gdg-bangalore/
GDG,Bhubaneswar,GDG Bhubaneswar,https://gdg.community.dev/gdg-bhubaneswar/
GDG,Coimbatore,GDG Coimbatore,https://gdg.community.dev/gdg-coimbatore/
GDG,Delhi,GDG New Delhi,https://gdg.community.dev/gdg-new-delhi/
GDG,Vadodara,GDG Baroda,https://gdg.community.dev/gdg-baroda/
GDG,Jammu,GDG Jammu,https://gdg.community.dev/gdg-jammu/
GDG,Lucknow,GDG Lucknow,https://gdg.community.dev/gdg-lucknow/
GDG,Durgapur,GDG Durgapur,https://gdg.community.dev/gdg-durgapur/
GDG,Raipur,GDG Raipur,https://gdg.community.dev/gdg-raipur/
GDG,Noida,GDG Noida,https://gdg.community.dev/gdg-noida/
GDG,Kanpur,GDG Kanpur,https://gdg.community.dev/gdg-kanpur/
GDG,Mysuru,GDG Cloud Mysuru,https://gdg.community.dev/gdg-cloud-mysuru/
GDG,Bhubaneswar,GDG Cloud Bhubaneswar,https://gdg.community.dev/gdg-cloud-bhubaneswar/
GDG,Bhopal,GDG Cloud Bhopal,https://gdg.community.dev/gdg-cloud-bhopal/
GDG,Gurugram,GDG Gurugram,https://gdg.community.dev/gdg-gurugram/
GDG,Kochi,GDG Cloud Kochi,https://gdg.community.dev/gdg-cloud-kochi/
GDG,Guwahati,GDG Guwahati,https://gdg.community.dev/gdg-guwahati/
GDG,Dehradun,GDG Dehradun,https://gdg.community.dev/gdg-dehradun/
GDG,Nagpur,GDG Cloud Nagpur,https://gdg.community.dev/gdg-cloud-nagpur/
GDG,Madurai,GDG Cloud Madurai,https://gdg.community.dev/gdg-cloud-madurai/
GDG,Thiruvananthapuram,GDG Cloud Trivandrum,https://gdg.community.dev/gdg-cloud-trivandrum/
GDG,Ludhiana,GDG Ludhiana,https://gdg.community.dev/gdg-ludhiana/
GDG,Belagavi,GDG Belgaum,https://gdg.community.dev/gdg-belgaum/
GDG,Aurangabad,GDG Aurangabad,https://gdg.community.dev/gdg-aurangabad/
GDG,Chandigarh,GDG Cloud Chandigarh,https://gdg.community.dev/gdg-cloud-chandigarh/
GDG,Motihari,GDG Cloud Motihari,https://gdg.community.dev/gdg-cloud-motihari/
GDG,Prayagraj,GDG Prayagraj,https://gdg.community.dev/gdg-prayagraj/
GDG,Vijayawada,GDG Vijayawada,https://gdg.community.dev/gdg-vijayawada/
GDG,Noida,GDG Cloud Noida,https://gdg.community.dev/gdg-cloud-noida/
GDG,Mangaluru,GDG Cloud Mangalore,https://gdg.community.dev/gdg-cloud-mangalore/
GDG,Gandhinagar,GDG Cloud Gandhinagar,https://gdg.community.dev/gdg-cloud-gandhinagar/
GDG,Rajkot,GDG Cloud Rajkot,https://gdg.community.dev/gdg-cloud-rajkot/
GDG,Udaipur,GDG Cloud Udaipur,https://gdg.community.dev/gdg-cloud-udaipur/
GDGOC,Delhi,"GDG on Campus Delhi Technological University - Delhi, India",https://gdg.community.dev/gdg-on-campus-delhi-technological-university-delhi-india/
GDGOC,Mumbai,"GDG on Campus Usha Mittal Institute of Technology - Mumbai, India",https://gdg.community.dev/gdg-on-campus-usha-mittal-institute-of-technology-mumbai-india/
GDGOC,Greater Noida,"GDG on Campus G.L. Bajaj Institute of Technology and Management - Greater Noida, India",https://gdg.community.dev/gdg-on-campus-gl-bajaj-institute-of-technology-and-management-greater-noida-india/
GDGOC,Delhi,"GDG on Campus Netaji Subhas University of Technology - Delhi, India",https://gdg.community.dev/gdg-on-campus-netaji-subhas-university-of-technology-delhi-india/
GDGOC,Nagpur,"GDG on Campus RamdeoBaba University - Nagpur, India",https://gdg.community.dev/gdg-on-campus-ramdeobaba-university-nagpur-india/
GDGOC,Indore,"GDG on Campus Shri Vaishnav Vidyapeeth Vishwavidyalaya - Indore, India",https://gdg.community.dev/gdg-on-campus-shri-vaishnav-vidyapeeth-vishwavidyalaya-indore-india/
GDGOC,Pune,"GDG on Campus MKSSS's Cummins College of Engineering For Women - Pune, India",https://gdg.community.dev/gdg-on-campus-mkssss-cummins-college-of-engineering-for-women-pune-india/
GDGOC,Noida,"GDG on Campus JSS Academy of Technical Education - Noida, India",https://gdg.community.dev/gdg-on-campus-jss-academy-of-technical-education-noida-india/
GDGOC,Kanpur,"GDG on Campus Pranveer Singh Institute of Technology - Kanpur, India",https://gdg.community.dev/gdg-on-campus-pranveer-singh-institute-of-technology-kanpur-india/
GDGOC,Noida,"GDG on Campus Amity University - Noida, India",https://gdg.community.dev/gdg-on-campus-amity-university-noida-india/
GDGOC,Pune,"GDG on Campus D.Y. Patil College of Engineering - Pune, India",https://gdg.community.dev/gdg-on-campus-dy-patil-college-of-engineering-pune-india/
GDGOC,Trivandrum,"GDG on Campus College of Engineering - Trivandrum, India",https://gdg.community.dev/gdg-on-campus-college-of-engineering-trivandrum-india/
GDGOC,Navi Mumbai,"GDG on Campus SIES Graduate School of Technology - Navi Mumbai, India",https://gdg.community.dev/gdg-on-campus-sies-graduate-school-of-technology-navi-mumbai-india/
GDGOC,Delhi,"GDG on Campus University School of Information , Communication & Technology - Delhi, India",https://gdg.community.dev/gdg-on-campus-university-school-of-information-communication-technology-delhi-india/
GDGOC,Bhilai,"GDG on Campus Indian Institute of Technology - Bhilai, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-technology-bhilai-india/
GDGOC,Anand,"GDG on Campus Birla Vishvakarma Mahavidyalaya Engineering College - Anand, India",https://gdg.community.dev/gdg-on-campus-birla-vishvakarma-mahavidyalaya-engineering-college-anand-india/
GDGOC,Gandhinagar,"GDG on Campus Pandit Deendayal Energy University - Gandhinagar, India",https://gdg.community.dev/gdg-on-campus-pandit-deendayal-energy-university-gandhinagar-india/
GDGOC,Kolkata,"GDG on Campus Heritage Institute of Technology - Kolkata, India",https://gdg.community.dev/gdg-on-campus-heritage-institute-of-technology-kolkata-india/
GDGOC,Nadiad,"GDG on Campus Dharmsinh Desai University - Nadiad, India",https://gdg.community.dev/gdg-on-campus-dharmsinh-desai-university-nadiad-india/
GDGOC,Kolkata,"GDG on Campus Netaji Subhash Engineering College - Kolkata, India",https://gdg.community.dev/gdg-on-campus-netaji-subhash-engineering-college-kolkata-india/
GDGOC,Pune,"GDG on Campus Pimpri Chinchwad College of Engineering - Pune, India",https://gdg.community.dev/gdg-on-campus-pimpri-chinchwad-college-of-engineering-pune-india/
GDGOC,Mangaluru,"GDG on Campus Sahyadri College of Engineering & Management - Mangaluru, India",https://gdg.community.dev/gdg-on-campus-sahyadri-college-of-engineering-management-mangaluru-india/
GDGOC,Kolkata,"GDG on Campus Techno India University - Kolkata, India",https://gdg.community.dev/gdg-on-campus-techno-india-university-kolkata-india/
GDGOC,Nagpur,"GDG on Campus Government College of Engineering - Nagpur, India",https://gdg.community.dev/gdg-on-campus-government-college-of-engineering-nagpur-india/
GDGOC,Pune,"GDG on Campus Modern Education Society's College of Engineering - Pune, India",https://gdg.community.dev/gdg-on-campus-modern-education-societys-college-of-engineering-pune-india/
GDGOC,Dehradun,"GDG on Campus Graphic Era - Dehradun, India",https://gdg.community.dev/gdg-on-campus-graphic-era-dehradun-india/
GDGOC,Jalandhar,"GDG on Campus Dr. B. R. Ambedkar National Institute of Technology - Jalandhar, India",https://gdg.community.dev/gdg-on-campus-dr-b-r-ambedkar-national-institute-of-technology-jalandhar-india/
GDGOC,Landran,"GDG on Campus Chandigarh Group of Colleges (COE campus) - Landran, India",https://gdg.community.dev/gdg-on-campus-chandigarh-group-of-colleges-coe-campus-landran-india/
GDGOC,Rourkela,"GDG on Campus National Institute of Technology - Rourkela, India",https://gdg.community.dev/gdg-on-campus-national-institute-of-technology-rourkela-india/
GDGOC,Chandigarh,"GDG on Campus Chitkara University - Chandigarh, India",https://gdg.community.dev/gdg-on-campus-chitkara-university-chandigarh-india/
GDGOC,Burla,"GDG on Campus Veer Surendra Sai University of Technology - Burla, India",https://gdg.community.dev/gdg-on-campus-veer-surendra-sai-university-of-technology-burla-india/
GDGOC,Kolkata,"GDG on Campus Institute of Engineering & Management - Kolkata, India",https://gdg.community.dev/gdg-on-campus-institute-of-engineering-management-kolkata-india/
GDGOC,Greater Noida,"GDG on Campus Bennett University - Greater Noida, India",https://gdg.community.dev/gdg-on-campus-bennett-university-greater-noida-india/
GDGOC,Kurukshetra,"GDG on Campus University Institute of Engineering and Technology, Kurukshetra University - Kurukshetra, India",https://gdg.community.dev/gdg-on-campus-university-institute-of-engineering-and-technology-kurukshetra-university-kurukshetra-india/
GDGOC,Pune,"GDG on Campus MIT Academy of Engineering - Pune, India",https://gdg.community.dev/gdg-on-campus-mit-academy-of-engineering-pune-india/
GDGOC,Kanpur,"GDG on Campus Harcourt Butler Technical University - Kanpur, India",https://gdg.community.dev/gdg-on-campus-harcourt-butler-technical-university-kanpur-india/
GDGOC,Delhi,"GDG on Campus Guru Tegh Bahadur Institute of Technology - Delhi, India",https://gdg.community.dev/gdg-on-campus-guru-tegh-bahadur-institute-of-technology-delhi-india/
GDGOC,Indore,"GDG on Campus Acropolis Institute of Technology & Research - Indore, India",https://gdg.community.dev/gdg-on-campus-acropolis-institute-of-technology-research-indore-india/
GDGOC,Ghaziabad,"GDG on Campus ABES Engineering College - Ghaziabad, India",https://gdg.community.dev/gdg-on-campus-abes-engineering-college-ghaziabad-india/
GDGOC,Chandigarh,"GDG on Campus University Institute of Engineering & Technology, Punjab University - Chandigarh, India",https://gdg.community.dev/gdg-on-campus-university-institute-of-engineering-technology-punjab-university-chandigarh-india/
GDGOC,Patna,"GDG on Campus Indian Institute of Technology - Patna, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-technology-patna-india/
GDGOC,Bhubaneswar,"GDG on Campus C. V. Raman Global University - Bhubaneswar, India",https://gdg.community.dev/gdg-on-campus-c-v-raman-global-university-bhubaneswar-india/
GDGOC,Surat,"GDG on Campus Indian Institute of Information Technology - Surat, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-information-technology-surat-india/
GDGOC,Delhi,"GDG on Campus Bhagwan Parshuram Institute of Technology - Delhi, India",https://gdg.community.dev/gdg-on-campus-bhagwan-parshuram-institute-of-technology-delhi-india/
GDGOC,Pune,"GDG on Campus Army Institute of Technology - Pune, India",https://gdg.community.dev/gdg-on-campus-army-institute-of-technology-pune-india/
GDGOC,Ghaziabad,"GDG on Campus ABES Institute of Technology - Ghaziabad, India",https://gdg.community.dev/gdg-on-campus-abes-institute-of-technology-ghaziabad-india/
GDGOC,Mullana,"GDG on Campus Maharishi Markandeshwar (Deemed to be University) - Mullana, India",https://gdg.community.dev/gdg-on-campus-maharishi-markandeshwar-deemed-to-be-university-mullana-india/
GDGOC,Kolkata,"GDG on Campus B. P. Poddar Institute of Management and Technology - Kolkata, India",https://gdg.community.dev/gdg-on-campus-b-p-poddar-institute-of-management-and-technology-kolkata-india/
GDGOC,Bhopal,"GDG on Campus Sagar Institute of Science and Technology - Bhopal, India",https://gdg.community.dev/gdg-on-campus-sagar-institute-of-science-and-technology-bhopal-india/
GDGOC,Karnataka,"GDG on Campus National Institute of Technology - Karnataka, India",https://gdg.community.dev/gdg-on-campus-national-institute-of-technology-karnataka-india/
GDGOC,Navi Mumbai,"GDG on Campus Anjuman-I-Islam's Kalsekar Technical Campus - Navi Mumbai, India",https://gdg.community.dev/gdg-on-campus-anjuman-i-islams-kalsekar-technical-campus-navi-mumbai-india/
GDGOC,Chandigarh,"GDG on Campus Chandigarh University - Chandigarh, India",https://gdg.community.dev/gdg-on-campus-chandigarh-university-chandigarh-india/
GDGOC,Jammu,"GDG on Campus Model Institute of Engineering and Technology - Jammu, India",https://gdg.community.dev/gdg-on-campus-model-institute-of-engineering-and-technology-jammu-india/
GDGOC,Kattankulathur,"GDG on Campus SRM Institute of Science & Technology - Kattankulathur, India",https://gdg.community.dev/gdg-on-campus-srm-institute-of-science-technology-kattankulathur-india/
GDGOC,Roorkee,"GDG on Campus Quantum University - Roorkee, India",https://gdg.community.dev/gdg-on-campus-quantum-university-roorkee-india/
GDGOC,Kurnool,"GDG on Campus Indian Institute of Information Technology Design & Manufacturing - Kurnool, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-information-technology-design-manufacturing-kurnool-india/
GDGOC,Razam,"GDG on Campus GMR Institute of Technology - Razam, India",https://gdg.community.dev/gdg-on-campus-gmr-institute-of-technology-razam-india/
GDGOC,Bhopal,"GDG on Campus Vellore Institute of Technology - Bhopal, India",https://gdg.community.dev/gdg-on-campus-vellore-institute-of-technology-bhopal-india/
GDGOC,Mumbai,"GDG on Campus Thadomal Shahani Engineering College - Mumbai, India",https://gdg.community.dev/gdg-on-campus-thadomal-shahani-engineering-college-mumbai-india/
GDGOC,Nashik,"GDG on Campus MET Institute of Engineering, Bhujbal Knowledge City - Nashik, India",https://gdg.community.dev/gdg-on-campus-met-institute-of-engineering-bhujbal-knowledge-city-nashik-india/
GDGOC,Prayagraj,"GDG on Campus Indian Institute of Information Technology Allahabad - Prayagraj, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-information-technology-allahabad-prayagraj-india/
GDGOC,Kalyani,"GDG on Campus Indian Institute of Information Technology - Kalyani, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-information-technology-kalyani-india/
GDGOC,Delhi,"GDG on Campus Indira Gandhi Delhi Technical University for Women - Delhi, India",https://gdg.community.dev/gdg-on-campus-indira-gandhi-delhi-technical-university-for-women-delhi-india/
GDGOC,Bengaluru,"GDG on Campus Amrita School of Engineering - Bengaluru, India",https://gdg.community.dev/gdg-on-campus-amrita-school-of-engineering-bengaluru-india/
GDGOC,Silchar,"GDG on Campus National Institute of Technology - Silchar, India",https://gdg.community.dev/gdg-on-campus-national-institute-of-technology-silchar-india/
GDGOC,Visakhapatnam,"GDG on Campus Gayatri Vidya Parishad College of Engineering - Visakhapatnam, India",https://gdg.community.dev/gdg-on-campus-gayatri-vidya-parishad-college-of-engineering-visakhapatnam-india/
GDGOC,Chennai,"GDG on Campus Vellore Institute of Technology - Chennai, India",https://gdg.community.dev/gdg-on-campus-vellore-institute-of-technology-chennai-india/
GDGOC,Delhi,"GDG on Campus Maharaja Agrasen Institute of Technology - Delhi, India",https://gdg.community.dev/gdg-on-campus-maharaja-agrasen-institute-of-technology-delhi-india/
GDGOC,Bengaluru,"GDG on Campus BMS College of Engineering - Bengaluru, India",https://gdg.community.dev/gdg-on-campus-bms-college-of-engineering-bengaluru-india/
GDGOC,Jodhpur,"GDG on Campus M.B.M. University - Jodhpur, India",https://gdg.community.dev/gdg-on-campus-mbm-university-jodhpur-india/
GDGOC,Aziznagar,"GDG on Campus Vidya Jyothi Institute of Technology - Aziznagar, India",https://gdg.community.dev/gdg-on-campus-vidya-jyothi-institute-of-technology-aziznagar-india/
GDGOC,Bengaluru,"GDG on Campus Nitte Meenakshi Institute of Technology - Bengaluru, India",https://gdg.community.dev/gdg-on-campus-nitte-meenakshi-institute-of-technology-bengaluru-india/
GDGOC,Jaipur,"GDG on Campus The LNM Institute of Information Technology - Jaipur, India",https://gdg.community.dev/gdg-on-campus-the-lnm-institute-of-information-technology-jaipur-india/
GDGOC,Jaipur,"GDG on Campus Manipal University - Jaipur, India",https://gdg.community.dev/gdg-on-campus-manipal-university-jaipur-india/
GDGOC,Dehradun,"GDG on Campus University of Petroleum and Energy Studies - Dehradun, India",https://gdg.community.dev/gdg-on-campus-university-of-petroleum-and-energy-studies-dehradun-india/
GDGOC,Indore,"GDG on Campus Indian Institute of Technology - Indore, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-technology-indore-india/
GDGOC,Delhi,"GDG on Campus Dr. Akhilesh Das Gupta Institute of Professional Studies - Delhi, India",https://gdg.community.dev/gdg-on-campus-dr-akhilesh-das-gupta-institute-of-professional-studies-delhi-india/
GDGOC,Bengaluru,"GDG on Campus FET Jain University - Bengaluru, India",https://gdg.community.dev/gdg-on-campus-fet-jain-university-bengaluru-india/
GDGOC,Gorakhpur,"GDG on Campus Madan Mohan Malaviya University of Technology - Gorakhpur, India",https://gdg.community.dev/gdg-on-campus-madan-mohan-malaviya-university-of-technology-gorakhpur-india/
GDGOC,Sri City,"GDG on Campus Indian Institute of Information Technology Sri City, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-information-technology-sri-city-india/
GDGOC,Bhubaneswar,"GDG on Campus Institute of Technical Education & Research - Bhubaneswar, India",https://gdg.community.dev/gdg-on-campus-institute-of-technical-education-research-bhubaneswar-india/
GDGOC,Gunupur,"GDG on Campus GIET University - Gunupur, India",https://gdg.community.dev/gdg-on-campus-giet-university-gunupur-india/
GDGOC,Hyderabad,"GDG on Campus Gandhi Institute of Technology and Management - Hyderabad, India",https://gdg.community.dev/gdg-on-campus-gandhi-institute-of-technology-and-management-hyderabad-india/
GDGOC,Pune,"GDG on Campus Ajeenkya DY Patil University - Pune, India",https://gdg.community.dev/gdg-on-campus-ajeenkya-dy-patil-university-pune-india/
GDGOC,Kottayam,"GDG on Campus Indian Institute of Information Technology - Kottayam, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-information-technology-kottayam-india/
GDGOC,Pune,"GDG on Campus Trinity College of Engineering and Research - Pune, India",https://gdg.community.dev/gdg-on-campus-trinity-college-of-engineering-and-research-pune-india/
GDGOC,Chhattisgarh,"GDG on Campus Amity University - Chhattisgarh, India",https://gdg.community.dev/gdg-on-campus-amity-university-chhattisgarh-india/
GDGOC,Bhubaneswar,"GDG on Campus International Institute of Information Technology - Bhubaneswar, India",https://gdg.community.dev/gdg-on-campus-international-institute-of-information-technology-bhubaneswar-india/
GDGOC,Howrah,"GDG on Campus Indian Institute of Engineering Science and Technology, Shibpur - Howrah, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-engineering-science-and-technology-shibpur-howrah-india/
GDGOC,Ahmedabad,"GDG on Campus Nirma University - Ahmedabad, India",https://gdg.community.dev/gdg-on-campus-nirma-university-ahmedabad-india/
GDGOC,Thiruvananthapuram,"GDG on Campus LBS Institute of Technology for Women - Thiruvananthapuram, India",https://gdg.community.dev/gdg-on-campus-lbs-institute-of-technology-for-women-thiruvananthapuram-india/
GDGOC,Kanpur,"GDG on Campus Dr. Ambedkar Institute of Technology for Divyangjan - Kanpur, India",https://gdg.community.dev/gdg-on-campus-dr-ambedkar-institute-of-technology-for-divyangjan-kanpur-india/
GDGOC,Chennai,"GDG on Campus Sri Sairam Engineering College - Chennai, India",https://gdg.community.dev/gdg-on-campus-sri-sairam-engineering-college-chennai-india/
GDGOC,Pune,"GDG on Campus Marathwada Mitra Mandal's College of Engineering - Pune, India",https://gdg.community.dev/gdg-on-campus-marathwada-mitra-mandals-college-of-engineering-pune-india/
GDGOC,Noida,"GDG on Campus Jaypee Institute of Information Technology (Sector-128) - Noida, India",https://gdg.community.dev/gdg-on-campus-jaypee-institute-of-information-technology-sector-128-noida-india/
GDGOC,Delhi,"GDG on Campus Shaheed Rajguru College of Applied Sciences for Women - Delhi, India",https://gdg.community.dev/gdg-on-campus-shaheed-rajguru-college-of-applied-sciences-for-women-delhi-india/
GDGOC,Kanjirappally,"GDG on Campus Amal Jyothi College of Engineering - Kanjirappally, India",https://gdg.community.dev/gdg-on-campus-amal-jyothi-college-of-engineering-kanjirappally-india/
GDGOC,Bengaluru,"GDG on Campus MVJ College of Engineering - Bengaluru, India",https://gdg.community.dev/gdg-on-campus-mvj-college-of-engineering-bengaluru-india/
GDGOC,Mandi,"GDG on Campus Indian Institute of Technology - Mandi, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-technology-mandi-india/
GDGOC,Wardha,"GDG on Campus Bajaj Institute of Technology - Wardha, India",https://gdg.community.dev/gdg-on-campus-bajaj-institute-of-technology-wardha-india/
GDGOC,Mumbai,"GDG on Campus Amity University - Mumbai, India",https://gdg.community.dev/gdg-on-campus-amity-university-mumbai-india/
GDGOC,Nashik,"GDG on Campus Gokhale Education Society's R. H. Sapat College of Engineering, Management Studies and Research - Nashik, India",https://gdg.community.dev/gdg-on-campus-gokhale-education-societys-r-h-sapat-college-of-engineering-management-studies-and-research-nashik-india/
GDGOC,Delhi,"GDG on Campus Jamia Millia Islamia - Delhi, India",https://gdg.community.dev/gdg-on-campus-jamia-millia-islamia-delhi-india/
GDGOC,Hyderabad,"GDG on Campus Methodist College of Engineering & Technology - Hyderabad, India",https://gdg.community.dev/gdg-on-campus-methodist-college-of-engineering-technology-hyderabad-india/
GDGOC,Aligarh,"GDG on Campus Zakir Husain College of Engineering and Technology - Aligarh, India",https://gdg.community.dev/gdg-on-campus-zakir-husain-college-of-engineering-and-technology-aligarh-india/
GDGOC,Patna,"GDG on Campus Bakhtiyarpur College of Engineering - Patna, India",https://gdg.community.dev/gdg-on-campus-bakhtiyarpur-college-of-engineering-patna-india/
GDGOC,Navi Mumbai,"GDG on Campus Pillai HOC College of Engineering and Technology - Navi Mumbai, India",https://gdg.community.dev/gdg-on-campus-pillai-hoc-college-of-engineering-and-technology-navi-mumbai-india/
GDGOC,Pune,"GDG on Campus International Institute of Information Technology - Pune, India",https://gdg.community.dev/gdg-on-campus-international-institute-of-information-technology-pune-india/
GDGOC,Ranchi,"GDG on Campus Indian Institute of Information Technology - Ranchi, India",https://gdg.community.dev/gdg-on-campus-indian-institute-of-information-technology-ranchi-india/
GDGOC,Guwahati,"GDG on Campus Gauhati University - Guwahati, India",https://gdg.community.dev/gdg-on-campus-gauhati-university-guwahati-india/
GDGOC,Mumbai,"GDG on Campus Dwarkadas J. Sanghvi College of Engineering - Mumbai, India",https://gdg.community.dev/gdg-on-campus-dwarkadas-j-sanghvi-college-of-engineering-mumbai-india/
GDGOC,Mumbai,"GDG on Campus Vidyalankar Institute of Technology - Mumbai, India",https://gdg.community.dev/gdg-on-campus-vidyalankar-institute-of-technology-mumbai-india/
GDGOC,Mathura,"GDG on Campus GLA University - Mathura, India",https://gdg.community.dev/gdg-on-campus-gla-university-mathura-india/
GDGOC,Durgapur,"GDG on Campus Dr. B.C. Roy Engineering College - Durgapur, India",https://gdg.community.dev/gdg-on-campus-dr-bc-roy-engineering-college-durgapur-india/
GDGOC,Bhubaneswar,"GDG on Campus Kalinga Institute of Industrial Technology - Bhubaneswar, India",https://gdg.community.dev/gdg-on-campus-kalinga-institute-of-industrial-technology-bhubaneswar-india/
GDGOC,Kolhapur,"GDG on Campus D Y Patil College of Engineering & Technology - Kolhapur, India",https://gdg.community.dev/gdg-on-campus-d-y-patil-college-of-engineering-technology-kolhapur-india/
GDGOC,Jalpaiguri,"GDG on Campus Jalpaiguri Government Engineering College - Jalpaiguri, India",https://gdg.community.dev/gdg-on-campus-jalpaiguri-government-engineering-college-jalpaiguri-india/
GDGOC,Murthal,"GDG on Campus Deenbandhu Chhotu Ram University of Science & Technology - Murthal, India",https://gdg.community.dev/gdg-on-campus-deenbandhu-chhotu-ram-university-of-science-technology-murthal-india/
GDGOC,Berhampur,"GDG on Campus National Institute of Science and Technology - Berhampur, India",https://gdg.community.dev/gdg-on-campus-national-institute-of-science-and-technology-berhampur-india/
GDGOC,Bhimavaram,"GDG on Campus Shri Vishnu Engineering College For Women - Bhimavaram, India",https://gdg.community.dev/gdg-on-campus-shri-vishnu-engineering-college-for-women-bhimavaram-india/
GDGOC,Lucknow,"GDG on Campus Babu Banarasi Das Institute of Technology and Management - Lucknow, India",https://gdg.community.dev/gdg-on-campus-babu-banarasi-das-institute-of-technology-and-management-lucknow-india/
GDGOC,Gurugram,"GDG on Campus The NorthCap University - Gurugram, India",https://gdg.community.dev/gdg-on-campus-the-northcap-university-gurugram-india/
GDGOC,Indore,"GDG on Campus Medi-Caps University - Indore, India",https://gdg.community.dev/gdg-on-campus-medi-caps-university-indore-india/
GDGOC,Bengaluru,"GDG on Campus Cambridge Institute of Technology - Bengaluru, India",https://gdg.community.dev/gdg-on-campus-cambridge-institute-of-technology-bengaluru-india/
GDGOC,Sangli,"GDG on Campus Walchand College of Engineering - Sangli, India",https://gdg.community.dev/gdg-on-campus-walchand-college-of-engineering-sangli-india/
GDGOC,Bangalore,"GDG on Campus University Visvesvaraya College of Engineering - Bangalore, India",https://gdg.community.dev/gdg-on-campus-university-visvesvaraya-college-of-engineering-bangalore-india/
